Longitud,Latitud,ID_COOP,ID_CV,Nombre,Administra,Barrio,Comuna,Código_Pos,Código_P_1,Dirección,Calle_1,Altura_1
-58.45249769,-34.62354366,6,7,Centro Verde Yerbal,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Caballito,Comuna 6,1406,C1406GJK,YERBAL 1481,YERBAL,1481
-58.40659321,-34.64358277,5,5,Centro Verde Cortejarena,Cooperativa de Trabajo Amanecer de los Cartoneros,Parque Patricios,Comuna 4,1437,C1437ISK,"CORTEJARENA, JOSE A. 3151","CORTEJARENA, JOSE A.",3151
-58.50843108,-34.57022595,1,1,Centro Verde Constituyentes,Cooperativa de Provisión de Servicios para Recuperadores Urbanos el Álamo,Villa Urquiza,Comuna 12,1431,C1431FAA,DE LOS CONSTITUYENTES AV. 6259,DE LOS CONSTITUYENTES AV.,6259
-58.46203398,-34.53478254,4,4,Centro Verde Nuñez,Cooperativa de Trabajo Las Madreselvas,Nuñez,Comuna 13,1429,C1429ELN,"PAZ, GRAL. AV. 98","PAZ, GRAL. AV.",98
-58.39666328,-34.57418907,2,2,Centro Verde Retiro,Cooperativa de Provisión de Servicios para Recolectores el Ceibo,Retiro,Comuna 1,1104,C1104AIA,PADRE CARLOS MUGICA 510,PADRE CARLOS MUGICA,510
-58.44165504,-34.65329046,6,6,Centro Verde Varela,Cooperativa de Trabajo de Recuperadores Urbanos del Oeste,Villa Soldati,Comuna 8,1437,C1437BJE,VARELA AV. 2505,VARELA AV.,2505
-58.45170464,-34.66348563,10,11,Centro Verde De la Rosa,Cooperativa de Provisión de Servicios para Recolectores del Oeste,Villa Soldati,Comuna 8,1439,C1439CIA,"DE LA ROSA, JOSE I., DR. 6245","DE LA ROSA, JOSE I., DR.",6245
-58.43982793,-34.65468205,11,12,Centro Verde Chilavert,Cooperativa de Trabajo Alelí,Villa Soldati,Comuna 8,1437,C1437HCI,"CHILAVERT, MARTINIANO, CORONEL 2745","CHILAVERT, MARTINIANO, CORONEL",2745
-58.37400166,-34.65091654,5,14,Centro Verde Barracas,Cooperativa de Trabajo Amanecer de los Cartoneros,Barracas,Comuna 4,1295,C1295ACP,HERRERA 2124,HERRERA,2124
-58.389465,-34.630628,3,3,Centro Verde Solís,Cooperativa de Trabajo Cartonera del Sur,Constitución,Comuna 4,1134,C1134ADO,SOLIS 1919,SOLIS,1919
-58.427855,-34.652591,9,10,Centro Verde Corrales,Cooperativa de Trabajo Baires Cero,Pompeya,Comuna 4,1437,C1437GLM,CORRALES 1763,CORRALES,1763
-58.384305,-34.652349,8,9,Centro Verde Río Cuarto,Cooperativa de Trabajo Recuperador Urbano el Trebol,Barracas,Comuna 4,1292,C1292ABL,RIO CUARTO 2774,RIO CUARTO,2774
-58.491732,-34.550236,5,16,Centro Verde Saavedra,Cooperativa de Trabajo Amanecer de los Cartoneros,Saavedra,Comuna 13,1430,C1430CSC,ARIAS 4383,ARIAS,4383
-58.440244,-34.663154,7,8,Centro Verde José Martí,Cooperativa de Trabajo Reciclando Trabajo y Dignidad,Villa Soldati,Comuna 8,1437,C1437BYC,"MARTI, JOSE 3329","MARTI, JOSE",3329
-58.457814,-34.650675,12,13,Centro Verde Balbastro,Cooperativa de Trabajo Primavera,Villa Soldati,Comuna 8,1406,C1406IDK,BALBASTRO 3209,BALBASTRO,3209
