OBJECTID,ID_COOP,NOMBRE,NOM_MAP,OBJETO,COLOR,DIREC_NORM,DIREC_ARCG,CALLE,ALTURA,BARRIO,COMUNA,CODIGO_POSTAL,CODIGO_POSTAL_ARGENTINO,Longitud,Latitud
1,1,COOPERATIVA DE PROVISION DE SERVICIOS PARA RECUPERADORES URBANOS EL ALAMO LIMITADA,EL ALAMO,COOPERATIVA,146 128 106,DE LOS CONSTITUYENTES AV. 6259,6259 DE LOS CONSTITUYENTES AV.,DE LOS CONSTITUYENTES AV.,6259,VILLA URQUIZA,COMUNA 12,1431,C1431FAA,-58.50843108,-34.57022595
2,5,COOPERATIVA DE TRABAJO AMANECER DE LOS CARTONEROS LIMITADA,EL AMANECER DE LOS CARTONEROS,COOPERATIVA,240 203 240,HERRERA 2124,2124 HERRERA,HERRERA,2124,BARRACAS,COMUNA 4,1295,C1295ACP,-58.37400166,-34.65091654
3,3,COOPERATIVA DE TRABAJO CARTONERA DEL SUR LIMITADA,CARTONERA DEL SUR,COOPERATIVA,162 162 162,SOLIS 1919,1919 SOLIS,SOLIS,1919,CONSTITUCION,COMUNA 4,1134,C1134ADO,-58.389465,-34.630628
4,8,COOPERATIVA DE TRABAJO RECUPERADOR URBANO EL TREBOL LIMITADA,EL TREBOL,COOPERATIVA,190 171 104,RIO CUARTO 2774,2774 RIO CUARTO,RIO CUARTO,2774,BARRACAS,COMUNA 4,1292,C1292ABL,-58.384305,-34.652349
5,11,COOPERATIVA DE TRABAJO ALELI LIMITADA,ALELI,COOPERATIVA,204 130 200,"CHILAVERT, MARTINIANO, CORONEL 2745","2745 CHILAVERT, MARTINIANO, CORONEL","CHILAVERT, MARTINIANO, CORONEL",2745,VILLA SOLDATI,COMUNA 8,1437,C1437HCI,-58.43982793,-34.65468205
6,10,COOPERATIVA DE PROVISION DE SERVICIOS PARA RECOLECTORES DEL OESTE LIMITADA,RECOLECTORES DEL OESTE,COOPERATIVA,188 143 143,"DE LA ROSA, JOSE I., DR. 6245","6245 DE LA ROSA, JOSE I., DR.","DE LA ROSA, JOSE., DR.",6245,VILLA SOLDATI,COMUNA 8,1439,C1439CIA,-58.45170464,-34.66348563
7,7,COOPERATIVA DE TRABAJO RECICLANDO TRABAJO Y DIGNIDAD LIMITADA,RECICLANDO TRABAJO Y DIGNIDAD,COOPERATIVA,219 149 119,"MARTI, JOSE 3329","3329 MARTI, JOSE","MARTI, JOSE",3329,VILLA SOLDATI,COMUNA 8,1437,C1437BYC,-58.440244,-34.663154
8,12,COOPERATIVA DE TRABAJO PRIMAVERA LIMITADA,PRIMAVERA,COOPERATIVA,123 104 238,BALBASTRO 3209,3209 BALBASTRO,BALBASTRO,3209,VILLA SOLDATI,COMUNA 8,1406,C1406IDK,-58.457814,-34.650675
9,9,COOPERATIVA DE TRABAJO BAIRES CERO CON LIMITADA,BAIRES CERO,COOPERATIVA,171 247 227,CORRALES 1763,1763CORRALES,CORRALES,1763,POMPEYA,COMUNA 4,1437,C1437GLM,-58.427855,-34.652591
10,6,COOPERATIVA DE TRABAJO DE RECUPERADORES URBANOS DEL OESTE LIMITADA,RECUPERADORES DEL OESTE,COOPERATIVA,192 192 192,VARELA AV. 2505,2505 VARELA AV.,VARELA AV.,2505,VILLA SOLDATI,COMUNA 8,1437,C1437BJE,-58.44165504,-34.65329046
11,4,COOPERATIVA DE TRABAJO LAS MADRESELVAS LIMITADA,MADRESELVA,COOPERATIVA,144 238 144,"PAZ, GRAL. AV. 98","98 PAZ, GRAL. AV.","PAZ, GRAL. AV.",98,NUÑEZ,COMUNA 13,1429,C1429ELN,-58.46203398,-34.53478254
12,2,COOPERATIVA DE PROVISION DE SERVICIOS PARA RECOLECTORES EL CEIBO LIMITADA,EL CEIBO,COOPERATIVA,150 200 255,PADRE CARLOS MUGICA 510,510 PADRE CARLOS MUGICA,PADRE CARLOS MUGICA,510,RETIRO,COMUNA 1,1104,C1104AIA,-58.39666328,-34.57418907
