año,mes,punto,visitas
2016,Enero,centenario,1644
2016,Enero,arenales,2274
2016,Enero,pvm,0
2016,Febrero,centenario,1673
2016,Febrero,arenales,1817
2016,Febrero,pvm,0
2016,Marzo,centenario,1872
2016,Marzo,arenales,2128
2016,Marzo,pvm,0
2016,Abril,centenario,1974
2016,Abril,arenales,2403
2016,Abril,pvm,0
2016,Mayo,centenario,1342
2016,Mayo,arenales,1911
2016,Mayo,pvm,0
2016,Junio,centenario,1601
2016,Junio,arenales,2179
2016,Junio,pvm,0
2016,Julio,centenario,1966
2016,Julio,arenales,2840
2016,Julio,pvm,0
2016,Agosto,centenario,1821
2016,Agosto,arenales,2501
2016,Agosto,pvm,857
2016,Septiembre,centenario,1962
2016,Septiembre,arenales,2958
2016,Septiembre,pvm,20
2016,Octubre,centenario,1139
2016,Octubre,arenales,2228
2016,Octubre,pvm,297
2016,Noviembre,centenario,1131
2016,Noviembre,arenales,2318
2016,Noviembre,pvm,108
2016,Diciembre,centenario,1433
2016,Diciembre,arenales,2763
2016,Diciembre,pvm,24
2017,Enero,centenario,1237
2017,Enero,arenales,2129
2017,Enero,pvm,0
2017,Febrero,centenario,1161
2017,Febrero,arenales,1689
2017,Febrero,pvm,0
2017,Marzo,centenario,1510
2017,Marzo,arenales,2085
2017,Marzo,pvm,0
2017,Abril,centenario,1512
2017,Abril,arenales,1517
2017,Abril,pvm,0
2017,Mayo,centenario,1482
2017,Mayo,arenales,1532
2017,Mayo,pvm,2
2017,Junio,centenario,1559
2017,Junio,arenales,1498
2017,Junio,pvm,1
2017,Julio,centenario,1727
2017,Julio,arenales,1452
2017,Julio,pvm,109
2017,Agosto,centenario,1190
2017,Agosto,arenales,1474
2017,Agosto,pvm,524
2017,Septiembre,centenario,1647
2017,Septiembre,arenales,1658
2017,Septiembre,pvm,611
2017,Octubre,centenario,1542
2017,Octubre,arenales,1666
2017,Octubre,pvm,300
2017,Noviembre,centenario,1485
2017,Noviembre,arenales,1335
2017,Noviembre,pvm,466
2017,Diciembre,centenario,1397
2017,Diciembre,arenales,1601
2017,Diciembre,pvm,164
2018,Enero,centenario,1109
2018,Enero,arenales,1496
2018,Enero,pvm,271
2018,Febrero,centenario,824
2018,Febrero,arenales,1066
2018,Febrero,pvm,198
2018,Marzo,centenario,1281
2018,Marzo,arenales,1614
2018,Marzo,pvm,290
2018,Abril,centenario,885
2018,Abril,arenales,746
2018,Abril,pvm,269
2018,Mayo,centenario,1094
2018,Mayo,arenales,638
2018,Mayo,pvm,265
2018,Junio,centenario,968
2018,Junio,arenales,993
2018,Junio,pvm,317
2018,Julio,centenario,893
2018,Julio,arenales,937
2018,Julio,pvm,321
